"시점",대전광역시,세종특별자치시,충청남도
"2020.01",636203,136056,960438
"2020.02",637726,136629,961890
"2020.03",638921,137208,963547
"2020.04",640500,137500,964860
"2020.05",643220,137893,967947
"2020.06",644764,138167,971033
"2020.07",646211,138720,973444
"2020.08",647818,139552,975474
"2020.09",649552,140222,977399
"2020.10",650636,141687,978784
"2020.11",651488,142912,980711
"2020.12",652783,144275,983153
"2021.01",654078,145403,984768
"2021.02",655842,146323,987100
"2021.03",655196,146763,985844
"2021.04",656007,147292,987866
"2021.05",657087,147848,989963
"2021.06",657781,148604,991636
"2021.07",658831,149580,993794
"2021.08",659978,150077,995603
"2021.09",661948,150841,997516
"2021.10",662615,151639,999286
"2021.11",663621,152301,1000660
"2021.12",664417,153649,1001915
"2022.01",664804,154890,1003132
"2022.02",666643,155990,1005290
"2022.03",667934,156696,1007776
"2022.04",668599,157270,1009254
"2022.05",669589,157846,1010866
"2022.06",670279,158258,1012446
"2022.07",671127,158495,1013955
"2022.08",672491,158798,1015515
"2022.09",672212,159036,1015797
"2022.10",673098,159129,1017146
"2022.11",673163,159150,1018101
"2022.12",673429,159386,1019093
"2023.01",673759,159556,1020071
