"시점",대전광역시,동구,중구,서구,유성구,대덕구,세종특별자치시,세종시,충청남도,천안시,동남구,서북구,공주시,보령시,아산시,서산시,논산시,계룡시,당진시,금산군,부여군,서천군,청양군,홍성군,예산군,태안군
"2020.01",636203,103958,106486,204142,145781,75836,136056,136056,960438,282073,113586,168487,50502,48341,135376,76830,57290,15924,76202,25534,33369,26450,16253,45911,38317,32066
"2020.02",637726,103973,106756,204816,146334,75847,136629,136629,961890,283205,113881,169324,50432,48405,135574,77059,57309,15921,76246,25518,33391,26439,16199,45892,38264,32036
"2020.03",638921,104022,106821,205335,146848,75895,137208,137208,963547,284041,114071,169970,50406,48531,135861,77299,57363,15946,76258,25536,33385,26461,16159,45881,38388,32032
"2020.04",640500,104151,107000,205985,147429,75935,137500,137500,964860,284504,114121,170383,50415,48567,136117,77492,57389,16038,76330,25550,33403,26474,16140,45952,38433,32056
"2020.05",643220,104445,107226,206996,148454,76099,137893,137893,967947,285817,114344,171473,50512,48755,136482,77836,57505,16063,76496,25611,33463,26526,16127,46104,38527,32123
"2020.06",644764,104604,107314,207568,149130,76148,138167,138167,971033,287440,114695,172745,50592,48949,136567,78063,57626,16138,76642,25678,33479,26591,16166,46182,38670,32250
"2020.07",646211,104672,107403,208139,149798,76199,138720,138720,973444,288374,115065,173309,50688,49020,136987,78265,57645,16184,76807,25753,33519,26683,16168,46264,38765,32322
"2020.08",647818,104884,107517,208748,150379,76290,139552,139552,975474,289095,115254,173841,50828,49098,137507,78448,57655,16233,76936,25794,33527,26711,16151,46322,38790,32379
"2020.09",649552,105031,107659,209239,150816,76807,140222,140222,977399,289954,115426,174528,50871,49133,137893,78627,57730,16294,77030,25835,33521,26712,16150,46327,38846,32476
"2020.10",650636,105037,107657,209391,151076,77475,141687,141687,978784,290408,115496,174912,50908,49209,138216,78734,57726,16359,77206,25834,33522,26708,16220,46363,38872,32499
"2020.11",651488,105099,107667,209596,151253,77873,142912,142912,980711,290839,115508,175331,50912,49280,138829,78919,57746,16467,77385,25864,33540,26755,16292,46465,38865,32553
"2020.12",652783,105729,107626,209931,151292,78205,144275,144275,983153,291425,115586,175839,50966,49361,139580,79103,57826,16531,77661,25897,33562,26794,16378,46588,38946,32535
"2021.01",654078,106232,107645,210281,151606,78314,145403,145403,984768,291922,115683,176239,51039,49391,140087,79283,57969,16550,77789,25908,33545,26781,16339,46591,39097,32477
"2021.02",655842,106813,107796,210829,151939,78465,146323,146323,987100,292659,115898,176761,51112,49429,140829,79554,57989,16719,78002,25932,33558,26789,16319,46610,39127,32472
"2021.03",655196,106511,107299,210776,152199,78411,146763,146763,985844,292737,115836,176901,50877,49204,141013,79745,57510,16743,77982,25739,33279,26634,16272,46674,38899,32536
"2021.04",656007,106636,107294,211190,152372,78515,147292,147292,987866,293164,115941,177223,50946,49199,141644,79984,57604,16775,78209,25781,33300,26633,16332,46706,38957,32632
"2021.05",657087,106836,107418,211476,152717,78640,147848,147848,989963,293853,115967,177886,51066,49230,142167,80212,57702,16826,78399,25797,33308,26700,16324,46754,38950,32675
"2021.06",657781,106961,107537,211670,152860,78753,148604,148604,991636,294286,115999,178287,51112,49270,142927,80421,57753,16826,78673,25799,33325,26662,16315,46534,38959,32774
"2021.07",658831,107104,107576,212022,153197,78932,149580,149580,993794,294912,116147,178765,51189,49319,143617,80623,57819,16898,78846,25832,33330,26663,16315,46572,39007,32852
"2021.08",659978,107368,107582,212402,153591,79035,150077,150077,995603,295463,116278,179185,51268,49297,144293,80839,57881,16941,78951,25876,33319,26665,16323,46610,39015,32862
"2021.09",661948,107763,107704,212915,154407,79159,150841,150841,997516,296410,116566,179844,51353,49331,144786,81029,57957,16932,79070,25859,33264,26668,16312,46648,38985,32912
"2021.10",662615,107958,107794,213020,154560,79283,151639,151639,999286,297013,116752,180261,51442,49364,145338,81158,57990,16915,79244,25882,33255,26676,16359,46699,39004,32947
"2021.11",663621,108026,107755,213343,155165,79332,152301,152301,1000660,297580,116915,180665,51569,49345,145756,81294,58030,16939,79388,25887,33260,26629,16372,46716,39007,32888
"2021.12",664417,107832,107609,213592,155450,79934,153649,153649,1001915,297987,116963,181024,51580,49419,145869,81407,58048,17152,79526,25893,33257,26646,16426,46746,39051,32908
"2022.01",664804,107558,107538,213780,155677,80251,154890,154890,1003132,298394,117111,181283,51594,49390,146473,81542,58126,17221,79582,25874,33216,26649,16420,46743,38995,32913
"2022.02",666643,107803,107714,214326,156347,80453,155990,155990,1005290,298808,117346,181462,51684,49421,147704,81664,58205,17298,79627,25878,33217,26659,16449,46793,38983,32900
"2022.03",667934,107833,108026,214721,156792,80562,156696,156696,1007776,299485,117555,181930,52111,49528,148330,81737,58244,17345,79779,25910,33185,26707,16626,46800,39002,32987
"2022.04",668599,107663,108236,214965,157164,80571,157270,157270,1009254,300195,117771,182424,52156,49586,148703,81801,58272,17396,79859,25938,33186,26700,16634,46818,38992,33018
"2022.05",669589,108142,108179,215087,157541,80640,157846,157846,1010866,300798,118181,182617,52182,49635,149080,81921,58265,17422,79987,25971,33213,26711,16623,46833,39120,33105
"2022.06",670279,108403,108467,215066,157723,80620,158258,158258,1012446,301238,118507,182731,52252,49686,149551,82011,58276,17452,80222,26028,33235,26741,16605,46863,39149,33137
"2022.07",671127,108514,108618,215229,158092,80674,158495,158495,1013955,301765,118728,183037,52340,49686,149965,82104,58264,17462,80524,26073,33219,26735,16564,46864,39183,33207
"2022.08",672491,108585,108552,216074,158563,80717,158798,158798,1015515,302517,119105,183412,52428,49683,150342,82281,58266,17488,80670,26107,33174,26724,16535,46865,39212,33223
"2022.09",672212,108647,108110,216214,158770,80471,159036,159036,1015797,302490,118976,183514,52454,49628,150761,82193,58148,17718,80738,26119,33060,26660,16506,46786,39326,33210
"2022.10",673098,108670,108078,216618,159260,80472,159129,159129,1017146,302877,119111,183766,52464,49632,151202,82278,58157,17871,80871,26126,33037,26664,16540,46727,39524,33176
"2022.11",673163,108677,107819,216592,159670,80405,159150,159150,1018101,302802,119035,183767,52413,49668,151761,82386,58162,17956,80998,26164,32988,26662,16550,46786,39597,33208
"2022.12",673429,108640,107692,216539,160305,80253,159386,159386,1019093,302893,119122,183771,52394,49694,152249,82433,58137,18051,81199,26180,32945,26666,16567,46871,39605,33209
"2023.01",673759,108512,107578,216667,160881,80121,159556,159556,1020071,303038,119369,183669,52335,49710,153014,82548,58109,18062,81335,26193,32905,26675,16524,46837,39646,33140
