시점,대전,세종,충남
2020.01,675265,164499,1121349
2020.02,675685,165486,1123220
2020.03,677716,166449,1125409
2020.04,678837,166957,1126299
2020.05,679867,167232,1129557
2020.06,681266,167623,1134773
2020.07,683138,168535,1138897
2020.08,682815,169426,1140409
2020.09,685034,170144,1143395
2020.1,684826,171791,1145285
2020.11,685561,173424,1147853
2020.12,686429,174742,1149845
2021.01,688150,176189,1153066
2021.02,688212,177219,1155874
2021.03,688610,178290,1159859
2021.04,689873,178762,1159944
2021.05,687234,179241,1160139
2021.06,687078,179849,1162414
2021.07,688738,180692,1165887
2021.08,689721,181167,1167337
2021.09,690678,181795,1169366
2021.1,691081,182919,1171593
2021.11,692045,183673,1174234
2021.12,692702,185042,1176350
2022.01,693937,186619,1179523
2022.02,694713,187695,1182226
2022.03,696012,188487,1185855
2022.04,697565,189153,1187832
2022.05,698942,189859,1190087
2022.06,699873,190534,1192816
2022.07,701928,191279,1196570
2022.08,702972,191679,1199239
2022.09,704163,192137,1202258
2022.1,705190,192577,1205121
2022.11,706862,193235,1208960
2022.12,707928,193711,1211477
